y,month_num,season,race_grp,male_bin,age_num,age_z,crime_grp,borough,precinct,precinct_idx,frisked_bin,searched_bin,weapon_found_bin,firearm_bin,violent_bg_bin,known_weapon_bin,self_init
0,1,Winter,White Hispanic,1,18.0,-0.8539634,Property/Theft,Manhattan,26,17,1,0,0,0,1,0,1
0,1,Winter,Black,1,52.0,2.0782614,Violence,Manhattan,32,20,1,0,0,0,1,0,0
0,1,Winter,White,1,20.0,-0.6814796,Other,Brooklyn,61,36,0,0,1,0,0,0,1
1,1,Winter,Other,0,21.0,-0.5952377,Violence,Brooklyn,72,45,0,0,0,0,0,0,0
0,1,Winter,Black,1,29.0,0.094697535,Weapon,Brooklyn,81,52,1,0,0,0,1,0,0
0,1,Winter,White,1,40.0,1.0433584,Violence,Manhattan,20,12,1,0,0,0,0,0,0
0,1,Winter,Black,1,25.0,-0.25027007,Violence,Manhattan,28,18,1,0,0,0,1,0,0
0,1,Winter,White Hispanic,1,51.0,1.9920194,Other,Bronx,40,23,1,1,0,0,0,0,0
0,1,Winter,Black,1,21.0,-0.5952377,Weapon,Bronx,43,26,1,0,0,0,0,0,1
0,1,Winter,Black,1,30.0,0.18093944,Other,Bronx,48,31,1,1,0,0,0,0,1
0,1,Winter,Black,1,37.0,0.78463274,Other,Bronx,48,31,1,0,0,0,0,0,1
0,1,Winter,Black,1,51.0,1.9920194,Weapon,Brooklyn,70,43,1,0,0,0,1,0,0
0,1,Winter,Black,1,45.0,1.474568,Property/Theft,Brooklyn,70,43,0,0,0,0,0,0,0
1,1,Winter,Black,1,26.0,-0.16402817,Property/Theft,Brooklyn,73,46,0,1,0,0,1,0,0
0,1,Winter,White Hispanic,1,15.0,-1.1126891,Weapon,Queens,104,62,1,0,0,0,0,0,0
0,1,Winter,White Hispanic,0,16.0,-1.0264472,Weapon,Queens,104,62,1,1,0,0,0,0,0
0,1,Winter,White Hispanic,1,15.0,-1.1126891,Weapon,Queens,104,62,1,1,0,0,0,0,0
0,1,Winter,White Hispanic,0,15.0,-1.1126891,Weapon,Queens,104,62,0,1,0,0,0,0,0
0,1,Winter,White Hispanic,0,15.0,-1.1126891,Weapon,Queens,104,62,0,1,0,0,0,0,0
0,1,Winter,White Hispanic,1,16.0,-1.0264472,Weapon,Queens,104,62,1,0,0,0,0,0,0
0,1,Winter,White Hispanic,1,14.0,-1.198931,Weapon,Queens,104,62,1,0,0,0,0,0,0
1,1,Winter,White,1,33.0,0.43966514,Other,Queens,104,62,0,1,0,0,0,0,0
0,1,Winter,White Hispanic,1,20.0,-0.6814796,Weapon,Bronx,44,27,1,1,0,0,0,0,1
1,1,Winter,Black,1,48.0,1.7332937,Violence,Brooklyn,79,51,0,1,0,0,0,0,0
0,1,Winter,Black,1,52.0,2.0782614,Other,Queens,107,65,0,0,0,0,0,0,0
1,1,Winter,Other,1,29.0,0.094697535,Weapon,Bronx,42,25,1,1,1,1,0,0,1
1,1,Winter,Black,1,23.0,-0.42275387,Weapon,Bronx,47,30,1,1,0,0,0,0,1
0,1,Winter,Black,1,47.0,1.6470518,Other,Brooklyn,73,46,1,1,1,0,0,0,0
1,1,Winter,Black,0,40.0,1.0433584,Weapon,Brooklyn,77,49,1,1,0,0,1,0,0
